"target"	"target.chr"	"target.start"	"target.end"	"target.symbol"	"target.qtl.chr"	"target.qtl.pos"	"marker.id"	"target.cis"	"mediator"	"mediator.chr"	"mediator.start"	"mediator.end"	"mediator.symbol"	"target.lod"	"mediation.lod"	"mediation.z.lod"	"inv.mediation.lod"	"mediator.lod"	"target.drop"	"target.prop"	"mediator.drop"	"mediator.prop"
"ENSMUSG00000021867"	"14"	26.203369	26.207041	"Tmem254b"	"14"	25.562156	"14_25562156"	TRUE	"ENSMUSG00000072676"	"14"	25.924	25.927672	"Tmem254a"	63.0744231229941	1.03316023791785	-72.07513897372	1.03316023791785	60.5442477838975	62.0412628850763	0.983619981178374	59.5110875459797	0.982935451744226
"ENSMUSG00000072676"	"14"	25.924	25.927672	"Tmem254a"	"14"	25.562156	"14_25562156"	TRUE	"ENSMUSG00000021867"	"14"	26.203369	26.207041	"Tmem254b"	63.0744231229941	1.03316023791785	-72.07513897372	1.03316023791785	60.5442477838975	62.0412628850763	0.983619981178374	59.5110875459797	0.982935451744226
"ENSMUSG00000096023"	"14"	5.326255	5.334928	"Gm3542"	"14"	5.981349	"14_5981349"	TRUE	"ENSMUSG00000096470"	"14"	5.678784	5.687457	"Gm9603"	55.6880074504745	1.34588957098504	-33.313334699322	1.34588957098504	53.3168399824568	54.3421178794895	0.97583160840901	51.9709504114718	0.974756764065014
"ENSMUSG00000096470"	"14"	5.678784	5.687457	"Gm9603"	"14"	5.981349	"14_5981349"	TRUE	"ENSMUSG00000096023"	"14"	5.326255	5.334928	"Gm3542"	55.6880074504745	1.34588957098504	-33.313334699322	1.34588957098504	53.3168399824568	54.3421178794895	0.97583160840901	51.9709504114718	0.974756764065014
"ENSMUSG00000095348"	"4"	42.055152	42.089708	"Gm3892"	"4"	42.693311	"4_42693311"	TRUE	"ENSMUSG00000095258"	"4"	42.552478	42.587038	"Gm10593"	30.614382474622	0.870544148725173	-63.2249579926173	6.65114355485801	33.4174963612063	29.7438383258968	0.971564210075221	26.7663528063483	0.800968226854386
"ENSMUSG00000079402"	"14"	3.65203	3.673215	"Gm3020"	"14"	7.614964	"14_7614964"	TRUE	"ENSMUSG00000096488"	"14"	3.412614	3.4338	"Gm10409"	68.2630366967669	1.9922007004584	-32.2367293951123	1.9922007004584	68.5813373123167	66.2708359963085	0.970815820730214	66.5891366118583	0.970951270731482
"ENSMUSG00000096488"	"14"	3.412614	3.4338	"Gm10409"	"14"	7.614964	"14_7614964"	FALSE	"ENSMUSG00000079402"	"14"	3.65203	3.673215	"Gm3020"	68.2630366967669	1.9922007004584	-32.2367293951123	1.9922007004584	68.5813373123167	66.2708359963085	0.970815820730214	66.5891366118583	0.970951270731482
"ENSMUSG00000003178"	"6"	121.007241	121.081609	"Mical3"	"6"	121.173514	"6_121173514"	TRUE	"ENSMUSG00000051586"	"6"	120.931707	121.003153	"Mical3"	43.9385568305609	1.32378117063624	-32.3143886812916	5.6060329123608	26.6011908261099	42.6147756599246	0.969871992479382	20.9951579137491	0.789256317545818
"ENSMUSG00000094125"	"2"	83.955693	83.958185	"Gm13698"	"2"	83.812221	"2_83812221"	TRUE	"ENSMUSG00000079247"	"2"	83.990553	83.993045	"Gm13691"	63.1353519789478	2.03386555432103	-57.9103833807478	2.07086860119561	62.069386570524	61.1014864246268	0.967785630545004	59.9985179693284	0.96663623219729
"ENSMUSG00000094336"	"2"	83.961503	83.963995	"Gm13693"	"2"	83.812221	"2_83812221"	TRUE	"ENSMUSG00000079247"	"2"	83.990553	83.993045	"Gm13691"	63.1353519789478	2.03386555432103	-57.9103833807478	2.07086860119561	62.069386570524	61.1014864246268	0.967785630545004	59.9985179693284	0.96663623219729
