target,target.chr,target.start,target.end,target.symbol,target.qtl.chr,target.qtl.pos,marker.id,target.cis,mediator,mediator.chr,mediator.start,mediator.end,mediator.symbol,target.lod,mediation.lod,mediation.z.lod,inv.mediation.lod,mediator.lod,target.drop,target.prop,mediator.drop,mediator.prop
ENSMUSG00000021867,14,26.203369,26.207041,Tmem254b,14,25.562156,14_25562156,TRUE,ENSMUSG00000072676,14,25.924,25.927672,Tmem254a,63.07442312,1.033160238,-72.07513897,1.033160238,60.54424778,62.04126289,0.983619981,59.51108755,0.982935452
ENSMUSG00000072676,14,25.924,25.927672,Tmem254a,14,25.562156,14_25562156,TRUE,ENSMUSG00000021867,14,26.203369,26.207041,Tmem254b,63.07442312,1.033160238,-72.07513897,1.033160238,60.54424778,62.04126289,0.983619981,59.51108755,0.982935452
ENSMUSG00000096023,14,5.326255,5.334928,Gm3542,14,5.981349,14_5981349,TRUE,ENSMUSG00000096470,14,5.678784,5.687457,Gm9603,55.68800745,1.345889571,-33.3133347,1.345889571,53.31683998,54.34211788,0.975831608,51.97095041,0.974756764
ENSMUSG00000096470,14,5.678784,5.687457,Gm9603,14,5.981349,14_5981349,TRUE,ENSMUSG00000096023,14,5.326255,5.334928,Gm3542,55.68800745,1.345889571,-33.3133347,1.345889571,53.31683998,54.34211788,0.975831608,51.97095041,0.974756764
ENSMUSG00000095348,4,42.055152,42.089708,Gm3892,4,42.693311,4_42693311,TRUE,ENSMUSG00000095258,4,42.552478,42.587038,Gm10593,30.61438247,0.870544149,-63.22495799,6.651143555,33.41749636,29.74383833,0.97156421,26.76635281,0.800968227
ENSMUSG00000079402,14,3.65203,3.673215,Gm3020,14,7.614964,14_7614964,TRUE,ENSMUSG00000096488,14,3.412614,3.4338,Gm10409,68.2630367,1.9922007,-32.2367294,1.9922007,68.58133731,66.270836,0.970815821,66.58913661,0.970951271
ENSMUSG00000096488,14,3.412614,3.4338,Gm10409,14,7.614964,14_7614964,FALSE,ENSMUSG00000079402,14,3.65203,3.673215,Gm3020,68.2630367,1.9922007,-32.2367294,1.9922007,68.58133731,66.270836,0.970815821,66.58913661,0.970951271
ENSMUSG00000003178,6,121.007241,121.081609,Mical3,6,121.173514,6_121173514,TRUE,ENSMUSG00000051586,6,120.931707,121.003153,Mical3,43.93855683,1.323781171,-32.31438868,5.606032912,26.60119083,42.61477566,0.969871992,20.99515791,0.789256318
ENSMUSG00000094125,2,83.955693,83.958185,Gm13698,2,83.812221,2_83812221,TRUE,ENSMUSG00000079247,2,83.990553,83.993045,Gm13691,63.13535198,2.033865554,-57.91038338,2.070868601,62.06938657,61.10148642,0.967785631,59.99851797,0.966636232
ENSMUSG00000094336,2,83.961503,83.963995,Gm13693,2,83.812221,2_83812221,TRUE,ENSMUSG00000079247,2,83.990553,83.993045,Gm13691,63.13535198,2.033865554,-57.91038338,2.070868601,62.06938657,61.10148642,0.967785631,59.99851797,0.966636232
ENSMUSG00000095824,2,83.984743,83.987235,Gm13697,2,83.812221,2_83812221,TRUE,ENSMUSG00000079247,2,83.990553,83.993045,Gm13691,63.13535198,2.033865554,-57.91038338,2.070868601,62.06938657,61.10148642,0.967785631,59.99851797,0.966636232
ENSMUSG00000096337,2,83.978933,83.981425,Gm13694,2,83.812221,2_83812221,TRUE,ENSMUSG00000079247,2,83.990553,83.993045,Gm13691,63.13535198,2.033865554,-57.91038338,2.070868601,62.06938657,61.10148642,0.967785631,59.99851797,0.966636232
ENSMUSG00000096484,2,83.973123,83.975615,Gm13696,2,83.812221,2_83812221,TRUE,ENSMUSG00000079247,2,83.990553,83.993045,Gm13691,63.13535198,2.033865554,-57.91038338,2.070868601,62.06938657,61.10148642,0.967785631,59.99851797,0.966636232
ENSMUSG00000091814,14,6.712183,6.720251,Gm8050,14,7.614964,14_7614964,TRUE,ENSMUSG00000094370,14,5.718336,5.741577,Gm3373,45.29427174,1.520873255,-25.65230328,25.67545147,61.16186896,43.77339848,0.966422393,35.48641749,0.580204923
ENSMUSG00000017929,2,167.298444,167.349183,B4galt5,13,112.205697,13_112205697,FALSE,ENSMUSG00000021756,13,112.46407,112.510086,Il6st,7.477678198,0.251311047,-13.13724254,79.05407595,87.25288173,7.226367151,0.966391834,8.198805774,0.093966017
ENSMUSG00000079247,2,83.990553,83.993045,Gm13691,2,83.798437,2_83798437,TRUE,ENSMUSG00000094125,2,83.955693,83.958185,Gm13698,63.38879803,2.146976497,-57.2874157,1.961911775,61.95129824,61.24182153,0.966130033,59.98938647,0.968331386
